Brand,Product_Name,Region,State,Type,Brew_Format,Strength,Milk_Compatibility,Flavor_Profile,Pack_Size,Price_INR,Price_Per_100g,Image_URL,Packaging_Type
Blue Tokai,Attikan Estate,Biligiri Hills,Karnataka,Filter Coffee,Ground Powder,Medium,Dairy,"Fruity, Nutty, Balanced Acidity",250g,700,280.0,,Pouch/Packet
Sleepy Owl,South Indian Filter Coffee,Chikmagalur,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,Chocolate,250g,350,140.0,,Pouch/Packet
Sleepy Owl,Classic Roast Drip Bags,Chikmagalur,Karnataka,Filter Coffee,Drip Bag,Medium,"Dairy, Oat, Soya",Chocolate,Box of 10 bags,300,,,Sachet Box
Araku Coffee,Araku Valley Organic,Araku Valley,Andhra Pradesh,Filter Coffee,Ground Powder,Medium,"Dairy, Oat","Fruity, Chocolatey",250g,500,200.0,,Pouch/Packet
Levista,Filter Coffee 80:20,Coorg,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold, Smooth, Aromatic",200g,195,98.0,,Pouch/Packet
Narasus,Filter Coffee,Yercaud,Tamil Nadu,Filter Coffee,Traditional Filter,Mild,Dairy,"Floral, Sweet",250g,200,80.0,,Pouch/Packet
Cothas,Cotha Blend (60:40),Multi-Estate Blend,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold, Dark, Strong-Bodied",100g,92,92.0,https://cothas.com/cdn/shop/files/Cothas_blend_filter_500-12_1200x1200.png?v=1780561780,Pouch/Packet
Devan's,South Indian Filter Coffee,Wayanad,Kerala,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold, Earthy",250g,210,84.0,,Pouch/Packet
Rally's,Filter Coffee,Nilgiris,Tamil Nadu,Filter Coffee,Traditional Filter,Medium,Dairy,"Fruity, Winey",250g,195,78.0,,Pouch/Packet
Corridor Seven,Baarbara Estate Washed Process,Chikmagalur,Karnataka,Espresso,Whole Bean,Medium,"Dairy, Almond, Coconut","Caramel, Clove, White Chocolate",250g,690,276.0,https://corridorseven.coffee/cdn/shop/products/Untitled-1_c91852a7-363d-4b21-a275-9d201708be54.jpg?v=1629980391,Pouch/Packet
Flying Squirrel,Baba Budan Giri Espresso,Baba Budan Giri,Karnataka,Espresso,Whole Bean,Strong,"Dairy, Oat","Floral, Citrus",250g,600,240.0,,Pouch/Packet
Kapi Kottai,Honey'd (Gowri Estate),Yercaud,Tamil Nadu,Filter Coffee,Traditional Filter,Mild,Dairy,"Sweet Lime, Raisins",250g,300,120.0,,Pouch/Packet
Halli Berri,Kambihalli Estate (Honey Process),Chikmagalur,Karnataka,Filter Coffee,Ground Powder,Medium,"Dairy, Almond","Lemon Peel, Dark Honey, Areca",250g,400,160.0,,Pouch/Packet
Curio Coffee Roasters,Idukki Cold Brew Concentrate,Idukki,Kerala,Cold Brew,Cold Brew Concentrate,Mild,"Dairy, Oat, Soya","Woody, Mild",200ml,350,,,Bottle
Seven Beans,Araku Filter Coffee,Araku Valley,Andhra Pradesh,Filter Coffee,Ground Powder,Medium,Dairy,"Chocolate, Fruity",250g,380,152.0,,Pouch/Packet
Filter Kaapi Co,Coorg Robusta,Coorg,Karnataka,Filter Coffee,Traditional Filter,Strong,Dairy,"Earthy, Bold",250g,270,108.0,,Pouch/Packet
Beanstalk,Garo Hills Specialty,Garo Hills,Meghalaya,Filter Coffee,Ground Powder,Mild,"Dairy, Oat, Coconut","Citrus, Honey",250g,500,200.0,,Pouch/Packet
Kumbakonam Degree Coffee,Authentic Filter Coffee Powder (90:10),Multi-Estate Blend,Tamil Nadu,Filter Coffee,Traditional Filter,Strong,Dairy,"Bold Aroma, Rich, Smooth Body",250g,258,103.0,https://kumbakonamcoffeeindia.com/wp-content/uploads/2025/05/kumbakonam-degree-coffee-filter-coffee-powder-90-10.webp.webp,Pouch/Packet
Continental,Instant Coffee Sachets,Coorg,Karnataka,Instant,Instant Sachet,Medium,"Dairy, Soya","Roasted, Bold",Box of 20 sachets,200,,,Sachet Box
Blue Tokai,Attikan Estate Capsules,Biligiri Hills,Karnataka,Espresso,Capsule/Pod,Medium,"Dairy, Almond, Oat","Dark Chocolate, Figs, Roasted Almond",Pack of 10 (5.5g each),450,818.0,https://bluetokaicoffee.com/cdn/shop/files/Attikan-estate-coffee-capsules-10.jpg?v=1735907065&width=1080,Capsule Pack
Blue Tokai,Dhak Blend Capsules,Multi-Estate Blend,Karnataka,Espresso,Capsule/Pod,Strong,"Dairy, Oat","Dark Chocolate, Cocoa, Fruit Jam",Pack of 10 (5.5g each),450,818.0,https://bluetokaicoffee.com/cdn/shop/files/Dhak-blend-coffee-capsules-pack-10.jpg?v=1736747343&width=1080,Capsule Pack
Coffeeza,Classico Capsules,Multi-Origin Blend,Karnataka,Espresso,Capsule/Pod,Medium,Dairy,"Roasted, Bold",Pack of 10 pods,390,,,Capsule Pack
Nescafe,"All-in-1 (Coffee, Milk & Sugar)",Multi-Origin Blend,Karnataka,Instant,"Milk Premix (3-in-1, With Sugar)",Medium,Dairy (Milk Powder Included),"Creamy, Sweet, Roasted, 3-in-1","Box of 10 sachets, 160g",135,84.0,,Sachet Box
Nescafe,2-in-1 Sugar-Free (Coffee & Creamer),Multi-Origin Blend,Karnataka,Instant,"Milk Premix (2-in-1, No Sugar)",Medium,Dairy (Creamer Included),"Smooth, Creamy","Pack of 15 sachets, ~175g",220,126.0,,Sachet Box
Bru,Instant Coffee (Original),Multi-Origin Blend,Karnataka,Instant,Instant Sachet,Strong,Dairy,"Roasted, Bold",200g Jar,352,176.0,,Glass Jar
