State,Region,Coffee_Type,Elevation_ft,Flavor_Notes,Notes
Karnataka,Chikmagalur,Arabica,3000-5000,"Chocolate, Nutty, Mild Acidity",Birthplace of Indian coffee cultivation
Karnataka,Coorg,Arabica & Robusta,3000-4500,"Fruity, Spicy, Balanced Body",Largest shade-grown coffee belt in Karnataka
Karnataka,Baba Budan Giri,Arabica,4500-6000,"Floral, Citrus, Bright Acidity",High-altitude specialty micro-region
Kerala,Wayanad,Robusta,2500-3500,"Earthy, Bold, Heavy Body",Largest Robusta-producing region in India
Kerala,Idukki,Arabica & Robusta,3000-4000,"Woody, Mild, Balanced","Blended estates, good for cold brew"
Tamil Nadu,Nilgiris,Arabica,3000-6000,"Fruity, Winey, Bright",Known as Blue Mountain coffee
Tamil Nadu,Yercaud,Arabica,4000-5000,"Floral, Sweet, Light Body",Small estate-grown specialty coffee
Tamil Nadu,Pulney Hills,Arabica,3500-4500,"Chocolate, Caramel, Smooth",Traditional filter-coffee belt
Andhra Pradesh,Araku Valley,Arabica,3000-4000,"Fruity, Chocolatey, Organic","Tribal-grown, 100% organic certified region"
Meghalaya,Garo Hills,Arabica,2500-3500,"Citrus, Honey, Delicate",Emerging Northeast specialty region
Manipur,Ukhrul,Arabica,3000-4000,"Floral, Mild, Clean Finish",Emerging Northeast specialty region
Assam,Karbi Anglong,Robusta,1500-2500,"Earthy, Malty, Bold",Newer commercial Robusta plantations
Karnataka,Biligiri Hills,Arabica,1200-1650,"Dark Chocolate, Figs, Roasted Almond","Part of the BR Hills range, known for medium-dark, fruity Arabica"
Karnataka,Yelnoorkhan Estate,Arabica,1616,"Chocolate Biscuits, Roasted Hazelnut, Malt","Established 1889, near Mullayanagiri peak in Chikmagalur; source of Blue Tokai's Half-Caff"
